all_go_terms,genes,dnds
GO:0009055,maker-268_pilon-augustus-gene-78.75,8.92665013091298
GO:0030247,snap_masked-585_pilon-processed-gene-3.100,4.54247026588027
GO:0007275,maker-73666_pilon-augustus-gene-7.6,4.31698719618841
GO:0005515,augustus_masked-445_pilon-abinit-gene-107.61,3.75501422975739
GO:0016020,maker-345_pilon-augustus-gene-23.54,3.59159717744069
GO:0005515,augustus-653_pilon-processed-gene-1.74,3.13495959415473
GO:0003677,snap-268_pilon-processed-gene-40.42,2.858969924512
GO:0009055,maker-312_pilon-snap-gene-17.73,2.65919909086146
GO:0003723,maker-266_pilon-augustus-gene-95.40,2.50834972462644
GO:0006355,snap-415_pilon-processed-gene-46.8,2.32301496307875
GO:0003677,snap-415_pilon-processed-gene-46.8,2.32301496307875
GO:0003700,maker-316_pilon-snap-gene-80.9,2.17702317206257
GO:0006355,maker-316_pilon-snap-gene-80.9,2.17702317206257
GO:0016020,maker-266_pilon-augustus-gene-80.135,2.13971417083465
GO:0005524,maker-266_pilon-augustus-gene-80.135,2.13971417083465
GO:0017038,maker-266_pilon-augustus-gene-80.135,2.13971417083465
GO:0003677,maker-370_pilon-augustus-gene-3.92,2.01931123566454
GO:0009512,maker-370_pilon-augustus-gene-3.92,2.01931123566454
GO:0015267,maker-898_pilon-snap-gene-6.55,1.93888899022502
GO:0016020,maker-898_pilon-snap-gene-6.55,1.93888899022502
GO:0055085,maker-898_pilon-snap-gene-6.55,1.93888899022502
GO:0030247,augustus_masked-72558_pilon-processed-gene-0.143,1.82540763073735
GO:0003700,augustus_masked-920_pilon-processed-gene-57.18,1.79433889446346
GO:0006355,augustus_masked-920_pilon-processed-gene-57.18,1.79433889446346
GO:0004867,maker-445_pilon-snap-gene-51.160,1.7795103610614
GO:0009611,maker-445_pilon-snap-gene-51.160,1.7795103610614
GO:0005515,augustus_masked-338_pilon-processed-gene-15.136,1.75000712107353
GO:0003700,augustus-353_pilon-processed-gene-14.64,1.74101920704727
GO:0006355,augustus-353_pilon-processed-gene-14.64,1.74101920704727
GO:0043565,augustus-353_pilon-processed-gene-14.64,1.74101920704727
GO:0005509,maker-442_pilon-augustus-gene-5.7,1.72746847751294
GO:0015979,maker-442_pilon-augustus-gene-5.7,1.72746847751294
GO:0009523,maker-442_pilon-augustus-gene-5.7,1.72746847751294
GO:0009654,maker-442_pilon-augustus-gene-5.7,1.72746847751294
GO:0019898,maker-442_pilon-augustus-gene-5.7,1.72746847751294
GO:0005515,maker-264_pilon-augustus-gene-123.131,1.72528927132063
GO:0003700,maker-345_pilon-snap-gene-67.1,1.71752478381
GO:0006355,maker-345_pilon-snap-gene-67.1,1.71752478381
GO:0043565,maker-345_pilon-snap-gene-67.1,1.71752478381
GO:0003677,augustus_masked-265_pilon-processed-gene-28.22,1.69140722184811
GO:0005515,snap-382_pilon-processed-gene-2.30,1.63976556785201
GO:0003700,maker-437_pilon-snap-gene-41.131,1.63878286902095
GO:0006355,maker-437_pilon-snap-gene-41.131,1.63878286902095
GO:0005634,maker-437_pilon-snap-gene-41.131,1.63878286902095
GO:0005515,augustus_masked-579_pilon-processed-gene-38.56,1.60666035354279
GO:0004857,augustus_masked-693_pilon-processed-gene-0.16,1.5930695218689
GO:0005515,augustus-351_pilon-processed-gene-22.11,1.55718786956056
GO:0003723,maker-838_pilon-snap-gene-8.84,1.55201037746472
GO:0003677,maker-348_pilon-snap-gene-4.0,1.52073820286847
GO:0016788,snap-764_pilon-processed-gene-2.25,1.51142122514404
GO:0003677,maker-571_pilon-snap-gene-31.34,1.4617778492804
GO:0016491,maker-353_pilon-augustus-gene-47.8,1.46003990528636
GO:0006511,augustus_masked-417_pilon-processed-gene-2.30,1.44818256387791
GO:0071949,maker-345_pilon-snap-gene-39.27,1.44763495142829
GO:0003677,maker-451_pilon-snap-gene-6.5,1.40279668363943
GO:0007017,maker-463_pilon-snap-gene-18.27,1.39387733892372
GO:0030286,maker-463_pilon-snap-gene-18.27,1.39387733892372
GO:0005515,maker-262_pilon-augustus-gene-57.50,1.35478055208
GO:0051087,maker-262_pilon-augustus-gene-57.50,1.35478055208
GO:0016020,maker-794_pilon-augustus-gene-0.57,1.34398544374135
GO:0043531,snap-354_pilon-processed-gene-1.46,1.33299491714328
GO:0003677,maker-867_pilon-snap-gene-17.42,1.33177745496881
GO:0048364,maker-628_pilon-augustus-gene-4.3,1.32924817093711
GO:0048367,maker-628_pilon-augustus-gene-4.3,1.32924817093711
GO:0005515,maker-261_pilon-snap-gene-56.4,1.32286276295191
GO:0008270,maker-261_pilon-snap-gene-56.4,1.32286276295191
GO:0003677,maker-375_pilon-augustus-gene-21.81,1.30596866113789
GO:0005515,snap_masked-71902_pilon-processed-gene-0.10,1.30024663273823
GO:0006629,maker-1014_pilon-snap-gene-14.124,1.28694431110217
GO:0005524,maker-151908_pilon-snap-gene-0.5,1.2843721758676
GO:0008017,maker-151908_pilon-snap-gene-0.5,1.2843721758676
GO:0003777,maker-151908_pilon-snap-gene-0.5,1.2843721758676
GO:0007018,maker-151908_pilon-snap-gene-0.5,1.2843721758676
GO:0003677,evm-358_pilon-processed-gene-16.79,1.28348747955087
GO:0051287,maker-74848_pilon-snap-gene-0.13,1.27433517043177
GO:0016616,maker-74848_pilon-snap-gene-0.13,1.27433517043177
GO:0006952,snap-445_pilon-processed-gene-7.74,1.26718169546403
GO:0005524,augustus-71473_pilon-processed-gene-0.3,1.24615520880278
GO:0004672,augustus-71473_pilon-processed-gene-0.3,1.24615520880278
GO:0006468,augustus-71473_pilon-processed-gene-0.3,1.24615520880278
GO:0048544,augustus-71473_pilon-processed-gene-0.3,1.24615520880278
GO:0003729,maker-353_pilon-snap-gene-9.40,1.23516854224043
GO:0005849,maker-353_pilon-snap-gene-9.40,1.23516854224043
GO:0006378,maker-353_pilon-snap-gene-9.40,1.23516854224043
GO:0016651,maker-73566_pilon-snap-gene-0.372,1.22527483334901
GO:0048038,maker-73566_pilon-snap-gene-0.372,1.22527483334901
GO:0051287,maker-73566_pilon-snap-gene-0.372,1.22527483334901
