,54.37,54.37.XL,SM.54.26,SM.54.28,SM.54.45,SM.54.45.XL,52.42,52.42.XL,52.81,52.97,LP.22.20,LP.22.48,LP.22.48.XL,LP.22.50,LP.22.54,LP.22.54.XL,SM.52.91,NL.2,NL.2.XL,total_count
ID=maker-898_pilon-snap-gene-10.40;Name=maker-898_pilon-snap-gene-10.40,1,1,,,,,1,1,,,,1,1,1,,,,1,1,9
ID=augustus_masked-444_pilon-processed-gene-2.150;Name=augustus_masked-444_pilon-processed-gene-2.150,1,1,,1,,,,,1,1,1,1,,1,1,1,1,1,1,13
ID=maker-444_pilon-augustus-gene-2.101;Name=maker-444_pilon-augustus-gene-2.101,1,,,,,,,,,,1,1,,,,,,1,1,5
ID=maker-314_pilon-snap-gene-35.48;Name=maker-314_pilon-snap-gene-35.48,1,1,,,,,,,,,,,,,,,,,,2
ID=maker-314_pilon-exonerate_est2genome-gene-36.32;Name=maker-314_pilon-exonerate_est2genome-gene-36.32,1,1,,1,,,,,,,,,,,,,,,,3
ID=maker-314_pilon-augustus-gene-37.59;Name=maker-314_pilon-augustus-gene-37.59,1,,,,,,,,,,,,,,,,,,,1
ID=snap_masked-1014_pilon-processed-gene-1.39;Name=snap_masked-1014_pilon-processed-gene-1.39,1,1,,,,,,,,1,1,1,1,1,,,,,,7
ID=snap-547_pilon-processed-gene-1.50;Name=snap-547_pilon-processed-gene-1.50,1,1,,,,,,,,,,,1,,,,,1,,4
ID=snap-547_pilon-processed-gene-30.75;Name=snap-547_pilon-processed-gene-30.75,1,1,,,,,,,1,,1,1,1,,1,,,,,7
ID=augustus_masked-701_pilon-processed-gene-2.44;Name=augustus_masked-701_pilon-processed-gene-2.44,1,1,,,,,1,1,,,,,,,,,1,1,1,7
ID=augustus_masked-701_pilon-processed-gene-2.68;Name=augustus_masked-701_pilon-processed-gene-2.68,1,1,,,,,1,1,,,,,,,,,,1,1,6
ID=snap-380_pilon-processed-gene-12.64;Name=snap-380_pilon-processed-gene-12.64,1,1,,,,,,,,,,,,,,,,,,2
ID=augustus-936_pilon-processed-gene-1.75;Name=augustus-936_pilon-processed-gene-1.75,1,1,1,1,1,,1,1,,1,1,1,1,1,1,1,,1,1,16
ID=snap_masked-645_pilon-processed-gene-3.64;Name=snap_masked-645_pilon-processed-gene-3.64,1,,1,,,,1,1,,1,,1,,1,,,1,,,8
ID=maker-645_pilon-snap-gene-9.22;Name=maker-645_pilon-snap-gene-9.22,1,1,,,,,1,,1,1,,1,1,,,1,,,1,9
