	Views	Protein	Species	E-value	% identity	Align len	Strands	Query ID	Query from	Query to	Target from	Target to	Bitscore	# identical	Positives	Gaps	Query len	Target len
	phytozome-next.jgi.doe.gov/report/protein/Cdentata_v1_1/Caden.10G192800.1.p	Caden.10G192800.1.p	C.dentata v1.1	7.28e-90	81	162	+/+	augustus-1014_pilon-processed-gene-5.8	17	178	30	178	264.618	132	139	13	189	212
	phytozome-next.jgi.doe.gov/report/protein/Qrubra_v2_1/Qurub.07G128500.1	Qurub.07G128500.1	Q.rubra v2.1	3.91e-55	45	190	+/+	augustus-1014_pilon-processed-gene-5.8	5	188	10	196	177.178	86	126	9	189	235
	phytozome-next.jgi.doe.gov/report/protein/Cdentata_v1_1/Caden.09G089000.1.p	Caden.09G089000.1.p	C.dentata v1.1	1.14e-51	44	190	+/+	augustus-1014_pilon-processed-gene-5.8	5	188	10	196	168.703	83	123	9	189	243
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a4_v1/Glyma.07G151600.1.p	Glyma.07G151600.1.p	G.max Wm82.a4.v1	7.51e-42	44	149	+/+	augustus-1014_pilon-processed-gene-5.8	11	155	8	156	143.28	65	99	4	189	234
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a2_v1/Glyma.07G151600.1.p	Glyma.07G151600.1.p	G.max Wm82.a2.v1	7.51e-42	44	149	+/+	augustus-1014_pilon-processed-gene-5.8	11	155	8	156	143.28	65	99	4	189	234
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a4_v1/Glyma.18G202900.1.p	Glyma.18G202900.1.p	G.max Wm82.a4.v1	1.35e-41	42	156	+/+	augustus-1014_pilon-processed-gene-5.8	6	155	3	155	142.51	66	102	9	189	233
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a2_v1/Glyma.18G202900.1.p	Glyma.18G202900.1.p	G.max Wm82.a2.v1	1.35e-41	42	156	+/+	augustus-1014_pilon-processed-gene-5.8	6	155	3	155	142.51	66	102	9	189	233
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a4_v1/Glyma.06G090900.2.p	Glyma.06G090900.2.p	G.max Wm82.a4.v1	5.27e-39	56	111	+/+	augustus-1014_pilon-processed-gene-5.8	49	159	2	108	132.88	62	85	4	189	137
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a2_v1/Glyma.06G090900.1.p	Glyma.06G090900.1.p	G.max Wm82.a2.v1	9.28e-37	46	136	+/+	augustus-1014_pilon-processed-gene-5.8	49	184	5	122	128.257	63	90	18	189	168
	phytozome-next.jgi.doe.gov/report/protein/Ptrichocarpa_v4_1/Potri.007G098800.1.p	Potri.007G098800.1.p	P.trichocarpa v4.1	1.15e-30	31	217	+/+	augustus-1014_pilon-processed-gene-5.8	6	187	19	235	115.546	67	109	35	189	278
	phytozome-next.jgi.doe.gov/report/protein/Cdentata_v1_1/Caden.05G147000.1.p	Caden.05G147000.1.p	C.dentata v1.1	1.52e-25	30	197	+/+	augustus-1014_pilon-processed-gene-5.8	9	187	6	202	101.679	60	106	18	189	249
	phytozome-next.jgi.doe.gov/report/protein/Cdentata_v1_1/Caden.04G071900.1.p	Caden.04G071900.1.p	C.dentata v1.1	4.11e-25	28	216	+/+	augustus-1014_pilon-processed-gene-5.8	10	187	9	224	100.908	60	110	38	189	274
	phytozome-next.jgi.doe.gov/report/protein/Qrubra_v2_1/Qurub.05G148300.1	Qurub.05G148300.1	Q.rubra v2.1	4.32e-25	29	197	+/+	augustus-1014_pilon-processed-gene-5.8	9	187	6	202	100.523	58	105	18	189	258
	phytozome-next.jgi.doe.gov/report/protein/Ptrichocarpa_v4_1/Potri.004G058200.1.p	Potri.004G058200.1.p	P.trichocarpa v4.1	1.67e-23	30	198	+/+	augustus-1014_pilon-processed-gene-5.8	10	187	7	204	95.9005	59	99	20	189	246
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a4_v1/Glyma.05G195200.1.p	Glyma.05G195200.1.p	G.max Wm82.a4.v1	5.32e-23	29	174	+/+	augustus-1014_pilon-processed-gene-5.8	3	154	15	188	95.5153	51	93	22	189	286
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a2_v1/Glyma.05G195200.1.p	Glyma.05G195200.1.p	G.max Wm82.a2.v1	5.32e-23	29	174	+/+	augustus-1014_pilon-processed-gene-5.8	3	154	15	188	95.5153	51	93	22	189	286
	phytozome-next.jgi.doe.gov/report/protein/Qrubra_v2_1/Qurub.05G148100.1	Qurub.05G148100.1	Q.rubra v2.1	3.67e-22	32	163	+/+	augustus-1014_pilon-processed-gene-5.8	45	186	52	212	92.8189	52	92	23	189	261
	phytozome-next.jgi.doe.gov/report/protein/Cdentata_v1_1/Caden.05G147100.1.p	Caden.05G147100.1.p	C.dentata v1.1	7.08e-22	31	163	+/+	augustus-1014_pilon-processed-gene-5.8	45	186	50	210	92.0485	51	92	23	189	262
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a4_v1/Glyma.13G228600.1.p	Glyma.13G228600.1.p	G.max Wm82.a4.v1	2.46e-21	31	203	+/+	augustus-1014_pilon-processed-gene-5.8	5	187	2	204	90.5077	62	105	20	189	255
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a2_v1/Glyma.13G228600.1.p	Glyma.13G228600.1.p	G.max Wm82.a2.v1	2.46e-21	31	203	+/+	augustus-1014_pilon-processed-gene-5.8	5	187	2	204	90.5077	62	105	20	189	255
	phytozome-next.jgi.doe.gov/report/protein/Ptrichocarpa_v4_1/Potri.001G390100.1.p	Potri.001G390100.1.p	P.trichocarpa v4.1	4.78e-21	33	175	+/+	augustus-1014_pilon-processed-gene-5.8	8	154	3	176	89.3521	57	88	29	189	233
