query_id,subject_id,subject_id.oak_tanoak,pct_ident.tanoak_oak,len.tanoak_oak,E.tanoak_oak,nextE.tanoak_oak,E_diff.tanoak_oak,Score.tanoak_oak,pct_ident.oak_tanoak,len.oak_tanoak,E.oak_tanoak,nextE.oak_tanoak,E_diff.oak_tanoak,Score.oak_tanoak
augustus_masked-1002_pilon-processed-gene-2.18-mRNA-1,Qrob_P0637920.2,augustus_masked-1002_pilon-processed-gene-2.18-mRNA-1,99.81,525,0,1.8499999999999999e-54,-Inf,943,99.81,525,0,2.36e-54,-Inf,943
augustus_masked-1002_pilon-processed-gene-2.8-mRNA-1,Qrob_P0013800.2,augustus_masked-1002_pilon-processed-gene-2.8-mRNA-1,97.817,687,0,9.13e-22,-Inf,1167,97.817,687,0,1.73e-76,-Inf,1167
augustus_masked-100403_pilon-processed-gene-0.0-mRNA-1,Qrob_P0105010.2,augustus_masked-100403_pilon-processed-gene-0.0-mRNA-1,84.396,737,0,6.2199999999999995e-46,-Inf,863,84.396,737,0,0,NA,863
augustus_masked-1013_pilon-processed-gene-2.8-mRNA-1,Qrob_P0207560.2,augustus_masked-1013_pilon-processed-gene-2.8-mRNA-1,99.022,2046,0,8.499999999999999e-104,-Inf,3600,99.022,2046,0,4.63e-102,-Inf,3600
augustus_masked-1014_pilon-processed-gene-1.5-mRNA-1,Qrob_P0661750.2,augustus_masked-1014_pilon-processed-gene-1.5-mRNA-1,87.745,408,2.06e-154,1.71e-22,-131.919128890023,545,88.235,408,4.03e-157,8.37e-33,-124.31742041185217,554
augustus_masked-1014_pilon-processed-gene-1.6-mRNA-1,Qrob_P0758150.2,augustus_masked-1014_pilon-processed-gene-1.6-mRNA-1,99.167,480,0,5.16e-11,-Inf,848,99.167,480,0,NA,NA,848
augustus_masked-1014_pilon-processed-gene-12.1-mRNA-1,Qrob_P0542130.2,augustus_masked-1014_pilon-processed-gene-12.1-mRNA-1,98.589,567,0,1.88e-86,-Inf,987,98.589,567,0,8.92e-92,-Inf,987
augustus_masked-1014_pilon-processed-gene-14.16-mRNA-1,Qrob_P0231070.2,augustus_masked-1014_pilon-processed-gene-14.16-mRNA-1,98.246,399,0,7.72e-17,-Inf,689,98.246,399,0,8.44e-49,-Inf,689
augustus_masked-1014_pilon-processed-gene-2.7-mRNA-1,Qrob_P0771790.2,augustus_masked-1014_pilon-processed-gene-2.7-mRNA-1,96.228,1140,0,5.79e-72,-Inf,1865,96.228,1140,0,1.16e-69,-Inf,1865
augustus_masked-1014_pilon-processed-gene-9.0-mRNA-1,Qrob_P0664590.2,augustus_masked-1014_pilon-processed-gene-9.0-mRNA-1,98.498,1398,0,1.46e-16,-Inf,2427,98.498,1398,0,7.92e-15,-Inf,2427
augustus_masked-1034_pilon-processed-gene-0.1-mRNA-1,Qrob_P0542680.2,augustus_masked-1034_pilon-processed-gene-0.1-mRNA-1,95.912,685,0,3.5899999999999996e-48,-Inf,1121,95.912,685,0,0,NA,1121
augustus_masked-1056_pilon-processed-gene-0.3-mRNA-1,Qrob_P0207660.2,augustus_masked-1056_pilon-processed-gene-0.3-mRNA-1,71.397,458,1.43e-64,5.72e-19,-45.60205999132796,247,71.397,458,1.32e-64,NA,NA,247
augustus_masked-114820_pilon-processed-gene-0.0-mRNA-1,Qrob_P0361710.2,augustus_masked-114820_pilon-processed-gene-0.0-mRNA-1,95.543,359,2.7099999999999997e-164,8.869999999999998e-158,-6.514954328957316,576,95.543,359,3.63e-164,2.7899999999999994e-159,-4.885697578237483,576
