name,length,split
445_pilon,16254951,1
345_pilon,15331457,2
268_pilon,12566597,3
264_pilon,12485716,4
266_pilon,11869767,5
265_pilon,10935069,6
606_pilon,10588550,7
316_pilon,10358023,8
353_pilon,10280650,9
262_pilon,9808046,10
360_pilon,9365340,1
261_pilon,9045944,2
867_pilon,8794770,3
377_pilon,7855321,4
267_pilon,7198398,5
920_pilon,6016635,6
358_pilon,5999961,7
518_pilon,5978860,8
371_pilon,5767787,9
452_pilon,5643172,10
215_pilon,5477519,1
216_pilon,5366432,2
361_pilon,5091757,3
975_pilon,5055076,4
415_pilon,5025563,5
263_pilon,4919167,6
352_pilon,4859232,7
579_pilon,4808498,8
437_pilon,4731724,9
438_pilon,4501051,10
351_pilon,4492299,1
348_pilon,4221291,2
314_pilon,4208306,3
780_pilon,4189388,4
422_pilon,4106289,5
384_pilon,4007682,6
542_pilon,3976457,7
417_pilon,3892577,8
547_pilon,3852626,9
781_pilon,3754098,10
714_pilon,3660934,1
451_pilon,3654601,2
792_pilon,3581356,3
74056_pilon,3440449,4
571_pilon,3425166,5
428_pilon,3413727,6
976_pilon,3367372,7
778_pilon,3317991,8
354_pilon,3263656,9
299_pilon,3136000,10
305_pilon,3127439,1
380_pilon,3108944,2
770_pilon,2997752,3
312_pilon,2959494,4
414_pilon,2916052,5
433_pilon,2883804,6
695_pilon,2857544,7
375_pilon,2848261,8
346_pilon,2839998,9
705_pilon,2825251,10
383_pilon,2769857,1
772_pilon,2711778,2
463_pilon,2707164,3
379_pilon,2614379,4
426_pilon,2598958,5
420_pilon,2577623,6
303_pilon,2512572,7
575_pilon,2450535,8
435_pilon,2414724,9
819_pilon,2378505,10
315_pilon,2356545,1
450_pilon,2302577,2
300_pilon,2288842,3
637_pilon,2271311,4
416_pilon,2151437,5
459_pilon,2146584,6
73666_pilon,2092153,7
499_pilon,2078539,8
378_pilon,2053413,9
424_pilon,2028130,10
688_pilon,1985330,1
311_pilon,1983072,2
357_pilon,1957335,3
526_pilon,1955208,4
838_pilon,1920113,5
616_pilon,1896100,6
477_pilon,1892068,7
328_pilon,1858834,8
431_pilon,1840780,9
656_pilon,1830206,10
385_pilon,1798406,1
453_pilon,1796764,2
984_pilon,1769271,3
809_pilon,1749399,4
449_pilon,1732489,5
717_pilon,1729744,6
485_pilon,1714017,7
825_pilon,1698987,8
455_pilon,1697850,9
927_pilon,1683027,10
356_pilon,1672832,1
338_pilon,1672743,2
370_pilon,1659753,3
429_pilon,1630625,4
721_pilon,1621080,5
1036_pilon,1610924,6
462_pilon,1592775,7
923_pilon,1587578,8
1014_pilon,1579925,9
457_pilon,1568799,10
350_pilon,1568097,1
748_pilon,1519560,2
381_pilon,1518784,3
880_pilon,1507688,4
347_pilon,1499014,5
834_pilon,1486022,6
645_pilon,1485452,7
465_pilon,1451781,8
768_pilon,1441604,9
368_pilon,1431409,10
349_pilon,1391144,1
376_pilon,1378945,2
327_pilon,1374669,3
592_pilon,1334260,4
423_pilon,1331764,5
313_pilon,1312631,6
700_pilon,1312169,7
973_pilon,1304222,8
456_pilon,1299893,9
382_pilon,1286612,10
708_pilon,1277907,1
530_pilon,1268847,2
464_pilon,1259713,3
878_pilon,1255185,4
434_pilon,1250208,5
898_pilon,1222836,6
639_pilon,1221687,7
73158_pilon,1211356,8
891_pilon,1160926,9
871_pilon,1159260,10
635_pilon,1137402,1
734_pilon,1136006,2
673_pilon,1130798,3
783_pilon,1129848,4
73340_pilon,1123554,5
369_pilon,1113453,6
440_pilon,1103414,7
430_pilon,1103367,8
441_pilon,1101928,9
791_pilon,1100550,10
598_pilon,1097950,1
73187_pilon,1058994,2
446_pilon,1058440,3
883_pilon,1052631,4
917_pilon,1044356,5
684_pilon,1044068,6
674_pilon,1034544,7
355_pilon,1030459,8
501_pilon,1029341,9
418_pilon,1020831,10
73107_pilon,1001459,1
482_pilon,991138,2
372_pilon,980062,3
460_pilon,949663,4
419_pilon,948067,5
991_pilon,947751,6
516_pilon,937836,7
613_pilon,936016,8
73211_pilon,923244,9
689_pilon,919043,10
832_pilon,914439,1
374_pilon,913775,2
605_pilon,907163,3
875_pilon,904499,4
713_pilon,896949,5
73511_pilon,876319,6
627_pilon,850844,7
665_pilon,848952,8
491_pilon,839869,9
754_pilon,838414,10
643_pilon,829637,1
480_pilon,828185,2
736_pilon,812227,3
436_pilon,809149,4
425_pilon,801392,5
901_pilon,798970,6
611_pilon,797678,7
359_pilon,795578,8
686_pilon,790754,9
73069_pilon,790539,10
447_pilon,788846,1
522_pilon,783784,2
495_pilon,767882,3
73192_pilon,753732,4
869_pilon,753575,5
679_pilon,752790,6
448_pilon,751403,7
826_pilon,748830,8
720_pilon,747540,9
